         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
JLY16      ----      ----      ----      ----    .33365 +.00065                 .33300                    2750
AUG16      ----      ----      ----      ----    .33125 +.00065                 .33060
SEP16      ----      ----      ----      ----    .32850 +.00060                 .32790
OCT16      ----      ----      ----      ----    .32605 +.00055                 .32550
NOV16      ----      ----      ----      ----    .32360 +.00055                 .32305
DEC16      ----      ----      ----      ----    .32120 +.00045                 .32075
JAN17      ----      ----      ----      ----    .31890 +.00050                 .31840
FEB17      ----      ----      ----      ----    .31645 +.00045                 .31600
MAR17      ----      ----      ----      ----    .31430 +.00040                 .31390
APR17      ----      ----      ----      ----    .31200 +.00035                 .31165
MAY17      ----      ----      ----      ----    .30995 +.00035                 .30960
JUN17      ----      ----      ----      ----    .30755 +.00030                 .30725
JLY17      ----      ----      ----      ----    .30540 +.00025                 .30515                    2970
AUG17      ----      ----      ----      ----    .30325 +.00025                 .30300
SEP17      ----      ----      ----      ----    .30110 +.00025                 .30085
OCT17      ----      ----      ----      ----    .29910 +.00020                 .29890
NOV17      ----      ----      ----      ----    .29695 +.00020                 .29675
DEC17      ----      ----      ----      ----    .29495 +.00015                 .29480
JAN18      ----      ----      ----      ----    .29305 +.00015                 .29290
FEB18      ----      ----      ----      ----    .29090 +.00010                 .29080
MAR18      ----      ----      ----      ----    .28910 +.00005                 .28905
APR18      ----      ----      ----      ----    .28730 +.00010                 .28720
MAY18      ----      ----      ----      ----    .28530 +.00005                 .28525
JUN18      ----      ----      ----      ----    .28345    UNCH                 .28345
JLY18      ----      ----      ----      ----    .28165    UNCH                 .28165
AUG18      ----      ----      ----      ----    .27970 -.00005                 .27975
SEP18      ----      ----      ----      ----    .27790    UNCH                 .27790
OCT18      ----      ----      ----      ----    .27625 -.00005                 .27630
NOV18      ----      ----      ----      ----    .27435 -.00010                 .27445
DEC18      ----      ----      ----      ----    .27265 -.00010                 .27275
JAN19      ----      ----      ----      ----    .27090 -.00010                 .27100
FEB19      ----      ----      ----      ----    .26920 -.00010                 .26930
MAR19      ----      ----      ----      ----    .26765 -.00015                 .26780
APR19      ----      ----      ----      ----    .26610 -.00015                 .26625
MAY19      ----      ----      ----      ----    .26440 -.00015                 .26455
JUN19      ----      ----      ----      ----    .26275 -.00020                 .26295
JLY19      ----      ----      ----      ----    .26130 -.00020                 .26150
AUG19      ----      ----      ----      ----    .25960 -.00020                 .25980
SEP19      ----      ----      ----      ----    .25805 -.00025                 .25830
OCT19      ----      ----      ----      ----    .25650 -.00025                 .25675
NOV19      ----      ----      ----      ----    .25495 -.00025                 .25520
DEC19      ----      ----      ----      ----    .25355 -.00025                 .25380
JAN20      ----      ----      ----      ----    .25200 -.00025                 .25225
FEB20      ----      ----      ----      ----    .25050 -.00030                 .25080
MAR20      ----      ----      ----      ----    .24915 -.00030                 .24945
APR20      ----      ----      ----      ----    .24765 -.00035                 .24800
MAY20      ----      ----      ----      ----    .24630 -.00030                 .24660
JUN20      ----      ----      ----      ----    .24495 -.00035                 .24530
JLY20      ----      ----      ----      ----    .24350 -.00035                 .24385
AUG20      ----      ----      ----      ----    .24210 -.00035                 .24245
SEP20      ----      ----      ----      ----    .24075 -.00035                 .24110
OCT20      ----      ----      ----      ----    .23945 -.00035                 .23980
NOV20      ----      ----      ----      ----    .23815 -.00035                 .23850
DEC20      ----      ----      ----      ----    .23680 -.00040                 .23720
JAN21      ----      ----      ----      ----    .23550 -.00040                 .23590
FEB21      ----      ----      ----      ----    .23425 -.00045                 .23470
MAR21      ----      ----      ----      ----    .23310 -.00045                 .23355
APR21      ----      ----      ----      ----    .23175 -.00045                 .23220
MAY21      ----      ----      ----      ----    .23055 -.00045                 .23100
JUN21      ----      ----      ----      ----    .22940 -.00045                 .22985
JLY21      ----      ----      ----      ----    .22810 -.00045                 .22855
AUG21      ----      ----      ----      ----    .22690 -.00050                 .22740
SEP21      ----      ----      ----      ----    .22570 -.00045                 .22615
OCT21      ----      ----      ----      ----    .22450 -.00050                 .22500
NOV21      ----      ----      ----      ----    .22340 -.00050                 .22390
DEC21      ----      ----      ----      ----    .22220 -.00050                 .22270
JAN22      ----      ----      ----      ----    .22105 -.00050                 .22155
FEB22      ----      ----      ----      ----    .21990 -.00050                 .22040
MAR22      ----      ----      ----      ----    .21890 -.00050                 .21940
APR22      ----      ----      ----      ----    .21775 -.00055                 .21830
MAY22      ----      ----      ----      ----    .21670 -.00055                 .21725
JUN22      ----      ----      ----      ----    .21560 -.00055                 .21615
JLY22      ----      ----      ----      ----    .21455 -.00055                 .21510
AUG22      ----      ----      ----      ----    .21350 -.00055                 .21405
SEP22      ----      ----      ----      ----    .21240 -.00055                 .21295
OCT22      ----      ----      ----      ----    .21135 -.00060                 .21195
NOV22      ----      ----      ----      ----    .21030 -.00060                 .21090
DEC22      ----      ----      ----      ----    .20930 -.00060                 .20990
JAN23      ----      ----      ----      ----    .20830 -.00060                 .20890                    3055
FEB23      ----      ----      ----      ----    .20725 -.00060                 .20785
MAR23      ----      ----      ----      ----    .20635 -.00060                 .20695
APR23      ----      ----      ----      ----    .20535 -.00060                 .20595
MAY23      ----      ----      ----      ----    .20445 -.00060                 .20505
JUN23      ----      ----      ----      ----    .20345 -.00060                 .20405
JLY23      ----      ----      ----      ----    .20250 -.00060                 .20310
AUG23      ----      ----      ----      ----    .20155 -.00060                 .20215
SEP23      ----      ----      ----      ----    .20060 -.00060                 .20120
OCT23      ----      ----      ----      ----    .19970 -.00060                 .20030
NOV23      ----      ----      ----      ----    .19875 -.00060                 .19935
DEC23      ----      ----      ----      ----    .19785 -.00060                 .19845
JAN24      ----      ----      ----      ----    .19695 -.00065                 .19760
FEB24      ----      ----      ----      ----    .19600 -.00065                 .19665
MAR24      ----      ----      ----      ----    .19515 -.00065                 .19580
APR24      ----      ----      ----      ----    .19435 -.00065                 .19500
MAY24      ----      ----      ----      ----    .19340 -.00065                 .19405
JUN24      ----      ----      ----      ----    .19255 -.00065                 .19320
JLY24      ----      ----      ----      ----    .19175 -.00065                 .19240
AUG24      ----      ----      ----      ----    .19085 -.00065                 .19150
SEP24      ----      ----      ----      ----    .19000 -.00065                 .19065
OCT24      ----      ----      ----      ----    .18915 -.00070                 .18985
NOV24      ----      ----      ----      ----    .18830 -.00070                 .18900
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                  1629                    398       73442
CD CANADIAN DOLLAR FUTURES
DEC14     .8812     .8860     .8797      ----     .8838  +.0026       62684      .8812       44843       94818
