         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
1840       ----      ----      ----      ----     .2623  +.0105                  .2518
1845       ----      ----      ----      ----     .2673  +.0105                  .2568
1850       ----      ----      ----      ----     .2723  +.0105                  .2618
1855       ----      ----      ----      ----     .2773  +.0105                  .2668
1860       ----      ----      ----      ----     .2823  +.0105                  .2718
1865       ----      ----      ----      ----     .2873  +.0105                  .2768
1870       ----      ----      ----      ----     .2923  +.0105                  .2818
1875       ----      ----      ----      ----     .2973  +.0105                  .2868
1880       ----      ----      ----      ----     .3023  +.0105                  .2918
1885       ----      ----      ----      ----     .3073  +.0105                  .2968
1890       ----      ----      ----      ----     .3123  +.0105                  .3018
1895       ----      ----      ----      ----     .3173  +.0105                  .3068
1900       ----      ----      ----      ----     .3223  +.0105                  .3118
1905       ----      ----      ----      ----     .3273  +.0105                  .3168
1910       ----      ----      ----      ----     .3323  +.0105                  .3218
1915       ----      ----      ----      ----     .3373  +.0105                  .3268
1920       ----      ----      ----      ----     .3423  +.0105                  .3318
1925       ----      ----      ----      ----     .3473  +.0105                  .3368
1930       ----      ----      ----      ----     .3523  +.0105                  .3418
1935       ----      ----      ----      ----     .3573  +.0105                  .3468
1940       ----      ----      ----      ----     .3623  +.0105                  .3518
1945       ----      ----      ----      ----     .3673  +.0105                  .3568
1950       ----      ----      ----      ----     .3723  +.0105                  .3618
1955       ----      ----      ----      ----     .3773  +.0105                  .3668
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL
OB DEC14 CME BRITISH POUND OPTIONS CALL
1340       ----      ----      ----      ----     23.77   -1.05                  24.82
1345       ----      ----      ----      ----     23.27   -1.05                  24.32
1350       ----      ----      ----      ----     22.77   -1.05                  23.82
1355       ----      ----      ----      ----     22.27   -1.05                  23.32
1360       ----      ----      ----      ----     21.77   -1.05                  22.82
1365       ----      ----      ----      ----     21.27   -1.05                  22.32
1370       ----      ----      ----      ----     20.77   -1.05                  21.82
1375       ----      ----      ----      ----     20.27   -1.05                  21.32
1380       ----      ----      ----      ----     19.77   -1.05                  20.82
1385       ----      ----      ----      ----     19.27   -1.05                  20.32
1390       ----      ----      ----      ----     18.77   -1.05                  19.82
1395       ----      ----      ----      ----     18.27   -1.05                  19.32
1400       ----      ----      ----      ----     17.77   -1.05                  18.82
1405       ----      ----      ----      ----     17.27   -1.05                  18.32
1410       ----      ----      ----      ----     16.77   -1.05                  17.82
1415       ----      ----      ----      ----     16.27   -1.05                  17.32
1420       ----      ----      ----      ----     15.77   -1.05                  16.82
1425       ----      ----      ----      ----     15.27   -1.05                  16.32
1430       ----      ----      ----      ----     14.77   -1.05                  15.82
1435       ----      ----      ----      ----     14.27   -1.05                  15.32
1440       ----      ----      ----      ----     13.77   -1.05                  14.82
1445       ----      ----      ----      ----     13.27   -1.05                  14.32
1450       ----      ----      ----      ----     12.77   -1.05                  13.82
1455       ----      ----      ----      ----     12.27   -1.05                  13.32
1460       ----      ----      ----      ----     11.77   -1.05                  12.82
1465       ----      ----      ----      ----     11.27   -1.05                  12.32
1470       ----      ----      ----      ----     10.77   -1.05                  11.82
1475       ----      ----      ----      ----     10.27   -1.05                  11.32
1480       ----      ----      ----      ----      9.77   -1.05                  10.82
1485       ----      ----      ----      ----      9.27   -1.05                  10.32
1490       ----      ----      ----      ----      8.78   -1.04                   9.82
1495       ----      ----      ----      ----      8.28   -1.05                   9.33
1500       ----      ----      ----      ----      7.79   -1.04                   8.83
1505       ----      ----      ----      ----      7.29   -1.05                   8.34
1510       ----      ----      ----      ----      6.80   -1.04                   7.84
1515       ----      ----      ----      ----      6.31   -1.04                   7.35
1520       ----      ----      ----      ----      5.82   -1.04                   6.86
1525       ----      ----      ----      ----      5.34   -1.03                   6.37
1530       ----      ----      ----      ----      4.86   -1.02                   5.88
1535       ----      ----      ----      ----      4.39   -1.01                   5.40
1540       ----      ----      ----      ----      3.93   -1.00                   4.93
1545       ----      ----      ----      ----      3.48    -.98                   4.46
1550       ----      ----      ----      ----      3.04    -.95                   3.99                       7
1555       ----      ----      2.60A     ----      2.63    -.91                   3.54                      13
1560       ----      ----      2.20A     ----      2.23    -.88                   3.11                      10
1565       ----      ----      1.83A     ----      1.86    -.83                   2.69                      33
1570       2.00      2.00      1.49      ----      1.52    -.78         114       2.30                      23
1575       1.38      2.29B     1.19A     ----      1.21    -.72          48       1.93          10          31
1580       1.71      1.92B      .92      ----       .94    -.65         176       1.59           2         114
1585       1.11      1.58B      .70A     ----       .71    -.57         199       1.28         171         533
1590       1.25      1.28B      .53      ----       .53    -.49         266       1.02         283         587
1595        .76      1.01B      .38A     ----       .38    -.40         245        .78         209         636
1600        .69       .78B      .27      ----       .27    -.32         424        .59         263        2183
1605        .24       .59B      .19A     ----       .19    -.24         214        .43         196        1106
1610        .40       .43B      .13      ----       .13    -.18         158        .31         171        1036
1615        .28       .32B      .09A     ----       .09    -.13          67        .22         225        1231
1620        .23       .23       .07      ----       .06    -.09         201        .15         483        1586
1625        .15       .15       .04A     ----       .04    -.07         120        .11         225        1611
1630        .04       .10B      .03      ----       .03    -.05          95        .08         319         908
1635        .02       .07B      .02      ----       .02    -.03         271        .05         106        1247
1640        .02       .02       .01      ----       .02    -.02          12        .04          61        1465
1645       ----      ----      ----      ----       .01    -.02          36        .03          95         840
1650        .01       .01       .01      ----       .01    -.01           2        .02           5        1250
1655        .01       .01       .01      ----       .01    -.01          52        .02                    1304
1660        .01       .01       .01      ----       CAB    -.01          10        .01                    1138
1665        .01       .01       .01      ----       CAB    -.01           1        .01                     514
1670       ----      ----      ----      ----       CAB    UNCH           6        CAB           2         972
1675       ----      ----      ----      ----       CAB    UNCH                    CAB                     516
1680       ----      ----      ----      ----       CAB    UNCH                    CAB          15         453
1685       ----      ----      ----      ----       CAB    UNCH                    CAB                     475
1690       ----      ----      ----      ----       CAB    UNCH                    CAB          30        1883
1695       ----      ----      ----      ----       CAB    UNCH                    CAB                     498
1700       ----      ----      ----      ----       CAB    UNCH                    CAB                    1316
1705       ----      ----      ----      ----       CAB    UNCH                    CAB                     252
1710       ----      ----      ----      ----       CAB    UNCH                    CAB                     644
1715       ----      ----      ----      ----       CAB    UNCH                    CAB                     362
1720       ----      ----      ----      ----       CAB    UNCH                    CAB                    1049
1725       ----      ----      ----      ----       CAB    UNCH                    CAB                     841
1730       ----      ----      ----      ----       CAB    UNCH                    CAB                     540
1735       ----      ----      ----      ----       CAB    UNCH                    CAB                     402
1740       ----      ----      ----      ----       CAB    UNCH                    CAB                    1056
1745       ----      ----      ----      ----       CAB    UNCH                    CAB                     280
1750       ----      ----      ----      ----       CAB    UNCH                    CAB                     433
1755       ----      ----      ----      ----       CAB    UNCH                    CAB                     256
1760       ----      ----      ----      ----       CAB    UNCH                    CAB                     680
1765       ----      ----      ----      ----       CAB    UNCH                    CAB                     383
1770       ----      ----      ----      ----       CAB    UNCH                    CAB                     583
1775       ----      ----      ----      ----       CAB    UNCH                    CAB                     373
1780       ----      ----      ----      ----       CAB    UNCH                    CAB                     241
1785       ----      ----      ----      ----       CAB    UNCH                    CAB                     222
1790       ----      ----      ----      ----       CAB    UNCH                    CAB                     379
1795       ----      ----      ----      ----       CAB    UNCH                    CAB                      63
1800       ----      ----      ----      ----       CAB    UNCH                    CAB                     742
1805       ----      ----      ----      ----       CAB    UNCH                    CAB                      95
1810       ----      ----      ----      ----       CAB    UNCH                    CAB                     207
1815       ----      ----      ----      ----       CAB    UNCH                    CAB                      61
1820       ----      ----      ----      ----       CAB    UNCH                    CAB                     100
1825       ----      ----      ----      ----       CAB    UNCH                    CAB                      22
1830       ----      ----      ----      ----       CAB    UNCH                    CAB                     153
1835       ----      ----      ----      ----       CAB    UNCH                    CAB                      29
1840       ----      ----      ----      ----       CAB    UNCH                    CAB                     131
1845       ----      ----      ----      ----       CAB    UNCH                    CAB                      41
1850       ----      ----      ----      ----       CAB    UNCH                    CAB                      56
1855       ----      ----      ----      ----       CAB    UNCH                    CAB                      30
1860       ----      ----      ----      ----       CAB    UNCH                    CAB                      40
1865       ----      ----      ----      ----       CAB    UNCH                    CAB                      50
1870       ----      ----      ----      ----       CAB    UNCH                    CAB                       1
1875       ----      ----      ----      ----       CAB    UNCH                    CAB
1880       ----      ----      ----      ----       CAB    UNCH                    CAB                      89
1885       ----      ----      ----      ----       CAB    UNCH                    CAB                       5
1890       ----      ----      ----      ----       CAB    UNCH                    CAB                      27
1895       ----      ----      ----      ----       CAB    UNCH                    CAB
1900       ----      ----      ----      ----       CAB    UNCH                    CAB                      51
1905       ----      ----      ----      ----       CAB    UNCH                    CAB                      30
1910       ----      ----      ----      ----       CAB    UNCH                    CAB                      25
1915       ----      ----      ----      ----       CAB    UNCH                    CAB                       3
1920       ----      ----      ----      ----       CAB    UNCH                    CAB                      23
1925       ----      ----      ----      ----       CAB    UNCH                    CAB                       2
1930       ----      ----      ----      ----       CAB    UNCH                    CAB                       4
1935       ----      ----      ----      ----       CAB    UNCH                    CAB                       3
1940       ----      ----      ----      ----       CAB    UNCH                    CAB                       5
1945       ----      ----      ----      ----       CAB    UNCH                    CAB
1950       ----      ----      ----      ----       CAB    UNCH                    CAB
1955       ----      ----      ----      ----       CAB    UNCH                    CAB
OB JAN15 CME BRITISH POUND OPTIONS CALL
1340       ----      ----      ----      ----     23.65   -1.04                  24.69
1345       ----      ----      ----      ----     23.15   -1.04                  24.19
1350       ----      ----      ----      ----     22.65   -1.04                  23.69
1355       ----      ----      ----      ----     22.15   -1.04                  23.19
1360       ----      ----      ----      ----     21.65   -1.04                  22.69
1365       ----      ----      ----      ----     21.15   -1.04                  22.19
1370       ----      ----      ----      ----     20.65   -1.04                  21.69
1375       ----      ----      ----      ----     20.15   -1.04                  21.19
1380       ----      ----      ----      ----     19.65   -1.04                  20.69
1385       ----      ----      ----      ----     19.15   -1.04                  20.19
1390       ----      ----      ----      ----     18.65   -1.04                  19.69
1395       ----      ----      ----      ----     18.15   -1.04                  19.19
1400       ----      ----      ----      ----     17.65   -1.04                  18.69
1405       ----      ----      ----      ----     17.15   -1.04                  18.19
1410       ----      ----      ----      ----     16.65   -1.04                  17.69
1415       ----      ----      ----      ----     16.15   -1.04                  17.19
1420       ----      ----      ----      ----     15.65   -1.04                  16.69
1425       ----      ----      ----      ----     15.15   -1.04                  16.19
1430       ----      ----      ----      ----     14.66   -1.03                  15.69
1435       ----      ----      ----      ----     14.16   -1.03                  15.19
1440       ----      ----      ----      ----     13.66   -1.04                  14.70
1445       ----      ----      ----      ----     13.17   -1.03                  14.20
1450       ----      ----      ----      ----     12.67   -1.03                  13.70
1455       ----      ----      ----      ----     12.18   -1.03                  13.21
1460       ----      ----      ----      ----     11.68   -1.03                  12.71
1465       ----      ----      ----      ----     11.19   -1.03                  12.22
1470       ----      ----      ----      ----     10.70   -1.02                  11.72
1475       ----      ----      ----      ----     10.21   -1.02                  11.23
1480       ----      ----      ----      ----      9.73   -1.01                  10.74
1485       ----      ----      ----      ----      9.24   -1.01                  10.25
1490       ----      ----      ----      ----      8.76   -1.00                   9.76
1495       ----      ----      ----      ----      8.28   -1.00                   9.28
1500       ----      ----      ----      ----      7.80    -.99                   8.79
1505       ----      ----      ----      ----      7.32   -1.00                   8.32
1510       ----      ----      ----      ----      6.85    -.99                   7.84
1515       ----      ----      ----      ----      6.39    -.98                   7.37
1520       ----      ----      ----      ----      5.93    -.97                   6.90
1525       ----      ----      ----      ----      5.48    -.95                   6.43
1530       ----      ----      ----      ----      5.04    -.94                   5.98
1535       ----      ----      ----      ----      4.60    -.92                   5.52
1540       ----      ----      ----      ----      4.19    -.89                   5.08
1545       ----      ----      ----      ----      3.78    -.87                   4.65
1550       ----      ----      3.39A     ----      3.39    -.84                   4.23
1555       ----      ----      3.01A     ----      3.01    -.81                   3.82
1560       ----      ----      2.65A     ----      2.65    -.78                   3.43
1565       2.33      3.41B     2.29A     ----      2.32    -.74           5       3.06
1570       ----      3.05B     1.98A     ----      2.00    -.70                   2.70                       9
1575       1.82      2.69B     1.69A     ----      1.71    -.66           1       2.37                      62
1580       1.61      2.35B     1.43A     ----      1.45    -.61          35       2.06                      68
1585       1.38      2.02B     1.20A     ----      1.21    -.55          15       1.76           8          74
1590       1.13      1.73B     1.00A     ----      1.00    -.50          28       1.50          39         119
1595       1.33      1.49B      .82A     ----       .82    -.44          58       1.26                     107
1600       1.12      1.24B      .66A     ----       .67    -.38          80       1.05          13         116
1605       1.00      1.04B      .54      ----       .54    -.33         147        .87           1         126
1610        .83       .86B      .43A     ----       .43    -.28          18        .71          73         220
1615        .42       .70B      .34      ----       .34    -.24          23        .58          20         209
1620        .32       .57B      .27A     ----       .26    -.20          20        .46           4         168
1625        .26       .46B      .21A     ----       .20    -.17          19        .37                     135
1630        .20       .37B      .15      ----       .16    -.12         349        .28           9         271
1635        .27       .29B      .13A     ----       .12    -.10         296        .22          97         212
1640        .11       .23B      .10A     ----       .09    -.08           2        .17           5         340
1645       ----       .17B      .08A     ----       .08    -.05          48        .13                     121
1650        .06       .14B      .06      ----       .06    -.04          53        .10          30         144
1655       ----       .11B      .05A     ----       .05    -.03                    .08           5          54
1660       ----       .08B      .04A     ----       .04    -.02                    .06                      44
1665       ----      ----       .04A     ----       .04    -.01                    .05                      62
1670       ----      ----       .03A     ----       .03    -.01                    .04                      24
1675       ----      ----      ----      ----       .02    -.01                    .03                      10
1680       ----      ----       .02A     ----       .02    -.01                    .03                      18
1685       ----       .03B     ----      ----       .02    UNCH                    .02                      51
1690       ----      ----      ----      ----       .01    -.01                    .02                      17
1695       ----      ----      ----      ----       .01    UNCH                    .01                       5
1700       ----      ----      ----      ----       CAB    -.01                    .01          10          20
1705        .01       .01       .01      ----       CAB    UNCH          10        CAB          10          10
1710        .01       .01       .01      ----       CAB    UNCH          15        CAB
1715       ----      ----      ----      ----       CAB    UNCH                    CAB                      20
1720       ----      ----      ----      ----       CAB    UNCH                    CAB
1725       ----      ----      ----      ----       CAB    UNCH                    CAB
1730       ----      ----      ----      ----       CAB    UNCH                    CAB
1735       ----      ----      ----      ----       CAB    UNCH                    CAB
1740       ----      ----      ----      ----       CAB    UNCH                    CAB
1745       ----      ----      ----      ----       CAB    UNCH                    CAB
1750       ----      ----      ----      ----       CAB    UNCH                    CAB
1755       ----      ----      ----      ----       CAB    UNCH                    CAB
1760       ----      ----      ----      ----       CAB    UNCH                    CAB
1765       ----      ----      ----      ----       CAB    UNCH                    CAB
1770       ----      ----      ----      ----       CAB    UNCH                    CAB
1775       ----      ----      ----      ----       CAB    UNCH                    CAB
1780       ----      ----      ----      ----       CAB    UNCH                    CAB
1785       ----      ----      ----      ----       CAB    UNCH                    CAB
1790       ----      ----      ----      ----       CAB    UNCH                    CAB
1795       ----      ----      ----      ----       CAB    UNCH                    CAB
1800       ----      ----      ----      ----       CAB    UNCH                    CAB
1805       ----      ----      ----      ----       CAB    UNCH                    CAB
1810       ----      ----      ----      ----       CAB    UNCH                    CAB
1815       ----      ----      ----      ----       CAB    UNCH                    CAB
1820       ----      ----      ----      ----       CAB    UNCH                    CAB
1825       ----      ----      ----      ----       CAB    UNCH                    CAB
1830       ----      ----      ----      ----       CAB    UNCH                    CAB
1835       ----      ----      ----      ----       CAB    UNCH                    CAB
1840       ----      ----      ----      ----       CAB    UNCH                    CAB
1845       ----      ----      ----      ----       CAB    UNCH                    CAB
1850       ----      ----      ----      ----       CAB    UNCH                    CAB
1855       ----      ----      ----      ----       CAB    UNCH                    CAB
1860       ----      ----      ----      ----       CAB    UNCH                    CAB
1865       ----      ----      ----      ----       CAB    UNCH                    CAB
1870       ----      ----      ----      ----       CAB    UNCH                    CAB
1875       ----      ----      ----      ----       CAB    UNCH                    CAB
1880       ----      ----      ----      ----       CAB    UNCH                    CAB
1885       ----      ----      ----      ----       CAB    UNCH                    CAB
1890       ----      ----      ----      ----       CAB    UNCH                    CAB
1895       ----      ----      ----      ----       CAB    UNCH                    CAB
1900       ----      ----      ----      ----       CAB    UNCH                    CAB
1905       ----      ----      ----      ----       CAB    UNCH                    CAB
1910       ----      ----      ----      ----       CAB    UNCH                    CAB
1915       ----      ----      ----      ----       CAB    UNCH                    CAB
1920       ----      ----      ----      ----       CAB    UNCH                    CAB
1925       ----      ----      ----      ----       CAB    UNCH                    CAB
1930       ----      ----      ----      ----       CAB    UNCH                    CAB
1935       ----      ----      ----      ----       CAB    UNCH                    CAB
1940       ----      ----      ----      ----       CAB    UNCH                    CAB
1945       ----      ----      ----      ----       CAB    UNCH                    CAB
1950       ----      ----      ----      ----       CAB    UNCH                    CAB
OB FEB15 CME BRITISH POUND OPTIONS CALL
1340       ----      ----      ----      ----     23.65   -1.04                  24.69
1345       ----      ----      ----      ----     23.15   -1.04                  24.19
1350       ----      ----      ----      ----     22.65   -1.04                  23.69
1355       ----      ----      ----      ----     22.15   -1.04                  23.19
1360       ----      ----      ----      ----     21.65   -1.04                  22.69
1365       ----      ----      ----      ----     21.15   -1.04                  22.19
1370       ----      ----      ----      ----     20.65   -1.04                  21.69
1375       ----      ----      ----      ----     20.15   -1.04                  21.19
1380       ----      ----      ----      ----     19.65   -1.04                  20.69
1385       ----      ----      ----      ----     19.15   -1.04                  20.19
1390       ----      ----      ----      ----     18.65   -1.04                  19.69
1395       ----      ----      ----      ----     18.16   -1.03                  19.19
1400       ----      ----      ----      ----     17.66   -1.03                  18.69
1405       ----      ----      ----      ----     17.16   -1.04                  18.20
1410       ----      ----      ----      ----     16.67   -1.03                  17.70
1415       ----      ----      ----      ----     16.17   -1.03                  17.20
1420       ----      ----      ----      ----     15.68   -1.03                  16.71
1425       ----      ----      ----      ----     15.18   -1.03                  16.21
1430       ----      ----      ----      ----     14.69   -1.03                  15.72
1435       ----      ----      ----      ----     14.20   -1.03                  15.23
1440       ----      ----      ----      ----     13.71   -1.02                  14.73
1445       ----      ----      ----      ----     13.22   -1.02                  14.24
1450       ----      ----      ----      ----     12.74   -1.01                  13.75
1455       ----      ----      ----      ----     12.25   -1.02                  13.27
1460       ----      ----      ----      ----     11.76   -1.02                  12.78
1465       ----      ----      ----      ----     11.28   -1.01                  12.29
1470       ----      ----      ----      ----     10.80   -1.01                  11.81
1475       ----      ----      ----      ----     10.31   -1.01                  11.32
1480       ----      ----      ----      ----      9.84   -1.00                  10.84
1485       ----      ----      ----      ----      9.36   -1.00                  10.36
1490       ----      ----      ----      ----      8.89    -.99                   9.88
1495       ----      ----      ----      ----      8.42    -.98                   9.40
1500       ----      ----      ----      ----      7.96    -.97                   8.93
1505       ----      ----      ----      ----      7.50    -.96                   8.46
1510       ----      ----      ----      ----      7.04    -.95                   7.99
1515       ----      ----      ----      ----      6.60    -.93                   7.53
1520       ----      ----      ----      ----      6.16    -.92                   7.08
1525       ----      ----      ----      ----      5.72    -.91                   6.63
1530       ----      ----      ----      ----      5.30    -.89                   6.19
1535       ----      ----      ----      ----      4.89    -.87                   5.76
1540       ----      ----      ----      ----      4.49    -.84                   5.33
1545       ----      ----      4.44A     ----      4.10    -.82                   4.92
1550       ----      ----      3.73A     ----      3.72    -.80                   4.52
1555       ----      4.50B     3.37A     ----      3.37    -.76                   4.13
1560       ----      4.11B     3.02A     ----      3.02    -.74                   3.76
1565       ----      3.75B     2.69A     ----      2.70    -.70                   3.40
1570       ----      3.39B     2.39A     ----      2.39    -.67                   3.06
1575       ----      3.04B     2.10A     ----      2.11    -.62                   2.73
1580       ----      2.72B     1.84A     ----      1.85    -.58                   2.43
1585       ----      2.41B     1.60A     ----      1.61    -.53                   2.14
1590       ----      2.12B     1.39A     ----      1.39    -.49                   1.88
1595       ----      1.86B     1.19A     ----      1.19    -.45                   1.64
1600       ----      1.60B     1.02A     ----      1.02    -.40                   1.42
1605       ----      1.40B      .86A     ----       .86    -.36                   1.22
1610       ----      1.20B      .73A     ----       .73    -.31                   1.04
1615        .61      1.03B      .61      ----       .61    -.27          10        .88
1620       ----       .87B      .51A     ----       .51    -.23                    .74
1625       ----       .73B      .43A     ----       .42    -.20                    .62
1630       ----       .62B      .36A     ----       .35    -.16                    .51
1635       ----       .52B      .29A     ----       .28    -.14                    .42
1640       ----       .43B      .24A     ----       .23    -.12                    .35
1645       ----       .36B      .20A     ----       .19    -.10                    .29
1650       ----       .29B      .16A     ----       .16    -.08                    .24
1655       ----       .23B      .14A     ----       .13    -.07                    .20
1660       ----       .19B      .12A     ----       .11    -.06                    .17
1665       ----       .16B      .10A     ----       .09    -.05                    .14
1670       ----      ----       .08A     ----       .07    -.05                    .12
1675       ----      ----       .07A     ----       .06    -.04                    .10
1680       ----      ----       .06A     ----       .05    -.03                    .08
1685       ----      ----       .05A     ----       .04    -.02                    .06
1690       ----      ----      ----      ----       .03    -.02                    .05
1695       ----      ----      ----      ----       .03    -.01                    .04
1700       ----      ----      ----      ----       .02    -.01                    .03
1705       ----      ----      ----      ----       .02    UNCH                    .02
1710       ----      ----      ----      ----       .02    UNCH                    .02
1715       ----      ----      ----      ----       .01    UNCH                    .01
1720       ----      ----      ----      ----       .01    UNCH                    .01
1725       ----      ----      ----      ----       CAB    UNCH                    CAB
1730       ----      ----      ----      ----       CAB    UNCH                    CAB
1735       ----      ----      ----      ----       CAB    UNCH                    CAB
1740       ----      ----      ----      ----       CAB    UNCH                    CAB
1745       ----      ----      ----      ----       CAB    UNCH                    CAB
1750       ----      ----      ----      ----       CAB    UNCH                    CAB
1755       ----      ----      ----      ----       CAB    UNCH                    CAB
1760       ----      ----      ----      ----       CAB    UNCH                    CAB
1765       ----      ----      ----      ----       CAB    UNCH                    CAB
1770       ----      ----      ----      ----       CAB    UNCH                    CAB
1775       ----      ----      ----      ----       CAB    UNCH                    CAB
1780       ----      ----      ----      ----       CAB    UNCH                    CAB
1785       ----      ----      ----      ----       CAB    UNCH                    CAB
1790       ----      ----      ----      ----       CAB    UNCH                    CAB
1795       ----      ----      ----      ----       CAB    UNCH                    CAB
1800       ----      ----      ----      ----       CAB    UNCH                    CAB
1805       ----      ----      ----      ----       CAB    UNCH                    CAB
1810       ----      ----      ----      ----       CAB    UNCH                    CAB
1815       ----      ----      ----      ----       CAB    UNCH                    CAB
1820       ----      ----      ----      ----       CAB    UNCH                    CAB
1825       ----      ----      ----      ----       CAB    UNCH                    CAB
1830       ----      ----      ----      ----       CAB    UNCH                    CAB
1835       ----      ----      ----      ----       CAB    UNCH                    CAB
1840       ----      ----      ----      ----       CAB    UNCH                    CAB
1845       ----      ----      ----      ----       CAB    UNCH                    CAB
1850       ----      ----      ----      ----       CAB    UNCH                    CAB
1855       ----      ----      ----      ----       CAB    UNCH                    CAB
1860       ----      ----      ----      ----       CAB    UNCH                    CAB
1865       ----      ----      ----      ----       CAB    UNCH                    CAB
1870       ----      ----      ----      ----       CAB    UNCH                    CAB
1875       ----      ----      ----      ----       CAB    UNCH                    CAB
1880       ----      ----      ----      ----       CAB    UNCH                    CAB
1885       ----      ----      ----      ----       CAB    UNCH                    CAB
1890       ----      ----      ----      ----       CAB    UNCH                    CAB
1895       ----      ----      ----      ----       CAB    UNCH                    CAB
1900       ----      ----      ----      ----       CAB    UNCH                    CAB
1905       ----      ----      ----      ----       CAB    UNCH                    CAB
1910       ----      ----      ----      ----       CAB    UNCH                    CAB
1915       ----      ----      ----      ----       CAB    UNCH                    CAB
1920       ----      ----      ----      ----       CAB    UNCH                    CAB
1925       ----      ----      ----      ----       CAB    UNCH                    CAB
1930       ----      ----      ----      ----       CAB    UNCH                    CAB
1935       ----      ----      ----      ----       CAB    UNCH                    CAB
1940       ----      ----      ----      ----       CAB    UNCH                    CAB
1945       ----      ----      ----      ----       CAB    UNCH                    CAB
1950       ----      ----      ----      ----       CAB    UNCH                    CAB
OB MAR15 CME BRITISH POUND OPTIONS CALL
1340       ----      ----      ----      ----     23.65   -1.04                  24.69
1345       ----      ----      ----      ----     23.15   -1.04                  24.19
1350       ----      ----      ----      ----     22.66   -1.04                  23.70
1355       ----      ----      ----      ----     22.16   -1.04                  23.20
1360       ----      ----      ----      ----     21.66   -1.04                  22.70
1365       ----      ----      ----      ----     21.16   -1.04                  22.20
1370       ----      ----      ----      ----     20.67   -1.03                  21.70
1375       ----      ----      ----      ----     20.17   -1.04                  21.21
1380       ----      ----      ----      ----     19.68   -1.03                  20.71
1385       ----      ----      ----      ----     19.18   -1.03                  20.21
1390       ----      ----      ----      ----     18.69   -1.03                  19.72
1395       ----      ----      ----      ----     18.19   -1.03                  19.22
1400       ----      ----      ----      ----     17.70   -1.03                  18.73
1405       ----      ----      ----      ----     17.21   -1.02                  18.23
1410       ----      ----      ----      ----     16.72   -1.02                  17.74
1415       ----      ----      ----      ----     16.23   -1.02                  17.25
1420       ----      ----      ----      ----     15.74   -1.01                  16.75
1425       ----      ----      ----      ----     15.25   -1.01                  16.26
1430       ----      ----      ----      ----     14.76   -1.01                  15.77
1435       ----      ----      ----      ----     14.27   -1.01                  15.28
1440       ----      ----      ----      ----     13.79   -1.00                  14.79
1445       ----      ----      ----      ----     13.30   -1.01                  14.31
1450       ----      ----      ----      ----     12.82   -1.00                  13.82
1455       ----      ----      ----      ----     12.33   -1.01                  13.34
1460       ----      ----      ----      ----     11.85   -1.00                  12.85
1465       ----      ----      ----      ----     11.38    -.99                  12.37
1470       ----      ----      ----      ----     10.90    -.99                  11.89
1475       ----      ----      ----      ----     10.43    -.98                  11.41
1480       ----      ----      ----      ----      9.96    -.98                  10.94
1485       ----      ----      ----      ----      9.49    -.97                  10.46
1490       ----      ----      ----      ----      9.03    -.96                   9.99
1495       ----      ----      ----      ----      8.58    -.95                   9.53
1500       ----      ----      ----      ----      8.13    -.94                   9.07
1505       ----      ----      ----      ----      7.68    -.93                   8.61
1510       ----      ----      ----      ----      7.24    -.92                   8.16
1515       ----      ----      ----      ----      6.81    -.91                   7.72
1520       ----      ----      ----      ----      6.39    -.89                   7.28
1525       ----      ----      ----      ----      5.97    -.87                   6.84
1530       ----      ----      ----      ----      5.56    -.86                   6.42
1535       ----      ----      ----      ----      5.17    -.83                   6.00
1540       ----      ----      4.79A     ----      4.78    -.81                   5.59
1545       ----      ----      4.38A     ----      4.41    -.78                   5.19
1550       4.33      5.16B     4.02A     ----      4.05    -.75          55       4.80                      10
1555       ----      4.78B     3.67A     ----      3.70    -.73                   4.43                      10
1560       ----      4.41B     3.34A     ----      3.36    -.70                   4.06
1565       3.18      4.05B     3.02A     ----      3.04    -.67          10       3.71
1570       ----      3.70B     2.73A     ----      2.74    -.64                   3.38          10          30
1575       ----      3.37B     2.44A     ----      2.45    -.61                   3.06                      26
1580       ----      3.05B     2.18A     ----      2.18    -.58                   2.76                       6
1585       2.04      2.74B     1.93A     ----      1.94    -.53          15       2.47                      16
1590       ----      2.45B     1.69A     ----      1.71    -.50                   2.21                      10
1595       2.18      2.20B     1.50A     ----      1.50    -.47          26       1.97          23          46
1600       ----      1.95B     1.31A     ----      1.32    -.42                   1.74                     202
1605       1.25      1.73B     1.15A     ----      1.15    -.39          30       1.54                     126
1610       1.47      1.52B     1.00A     ----      1.00    -.35          60       1.35          34         233
1615       ----      1.33B      .87A     ----       .87    -.31                   1.18          24         225
1620       1.13      1.16B      .75A     ----       .75    -.28          32       1.03           2         144
1625       ----      1.01B      .64A     ----       .65    -.24                    .89                     150
1630       ----       .87B      .55A     ----       .55    -.22                    .77          31         279
1635        .48       .75B      .47A     ----       .47    -.20          15        .67                      61
1640        .41       .64B      .40A     ----       .40    -.17          15        .57                     203
